"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_00001"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptospira"	"Leptospira alexanderi"	"ref_mOTU_v25_00001"
"ref_mOTU_v25_00002"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptospira"	"Leptospira weilii [Leptospira sp. P2653/Leptospira weilii]"	"ref_mOTU_v25_00002"
"ref_mOTU_v25_00004"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. [Chryseobacterium sp. OV705/Chryseobacterium sp. YR221]"	"ref_mOTU_v25_00004"
"ref_mOTU_v25_00005"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium gallinarum [Chryseobacterium gallinarum/Chryseobacterium sp. P1-3]"	"ref_mOTU_v25_00005"
"ref_mOTU_v25_00006"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium indologenes [Chryseobacterium sp. UNC8MFCol/Chryseobacterium indologenes]"	"ref_mOTU_v25_00006"
"ref_mOTU_v25_00007"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium artocarpi/ureilyticum"	"ref_mOTU_v25_00007"
"ref_mOTU_v25_00008"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium jejuense [Chryseobacterium jejuense/Chryseobacterium sp. StRB126]"	"ref_mOTU_v25_00008"
"ref_mOTU_v25_00009"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. G972"	"ref_mOTU_v25_00009"
"ref_mOTU_v25_00010"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium contaminans"	"ref_mOTU_v25_00010"
"ref_mOTU_v25_00011"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium indologenes"	"ref_mOTU_v25_00011"
"ref_mOTU_v25_00012"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium arthrosphaerae"	"ref_mOTU_v25_00012"
"ref_mOTU_v25_00013"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. [Chryseobacterium sp. YR485/Chryseobacterium sp. YR480]"	"ref_mOTU_v25_00013"
"ref_mOTU_v25_00014"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. YR459"	"ref_mOTU_v25_00014"
"ref_mOTU_v25_00015"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium cucumeris/indologenes [Chryseobacterium sp. CF365/Chryseobacterium cucumeris/Chryseobacterium indologenes]"	"ref_mOTU_v25_00015"
"ref_mOTU_v25_00016"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. YR477"	"ref_mOTU_v25_00016"
"ref_mOTU_v25_00017"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. RU33C"	"ref_mOTU_v25_00017"
"ref_mOTU_v25_00018"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium gleum"	"ref_mOTU_v25_00018"
"ref_mOTU_v25_00019"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium culicis"	"ref_mOTU_v25_00019"
"ref_mOTU_v25_00020"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium joostei"	"ref_mOTU_v25_00020"
"ref_mOTU_v25_00021"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Komagataeibacter"	"Komagataeibacter xylinus/hansenii"	"ref_mOTU_v25_00021"
"ref_mOTU_v25_00022"	"Bacteria"	"Proteobacteria"	"Proteobacteria class [Gammaproteobacteria/Alphaproteobacteria]"	"Proteobacteria order [Sphingomonadales/Enterobacterales]"	"Proteobacteria fam. [Sphingomonadaceae/Enterobacteriaceae]"	"Proteobacteria gen. [Sphingomonas/Enterobacter]"	"Proteobacteria sp. [Sphingomonas sp. S17/Sphingomonas paucimobilis/Enterobacter cloacae]"	"ref_mOTU_v25_00022"
"ref_mOTU_v25_00023"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas sanguinis"	"ref_mOTU_v25_00023"
"ref_mOTU_v25_00024"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas parapaucimobilis [Sphingomonas sp. Sph1(2015)/Sphingomonas parapaucimobilis]"	"ref_mOTU_v25_00024"
"ref_mOTU_v25_00025"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas yabuuchiae [Sphingomonas sp. LK11/Sphingomonas yabuuchiae/Sphingomonas sp. Leaf257]"	"ref_mOTU_v25_00025"
"ref_mOTU_v25_00026"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio natriegens [Vibrio sp. EJY3/Vibrio natriegens]"	"ref_mOTU_v25_00026"
"ref_mOTU_v25_00027"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sp. JCM 19052/Vibrio sp. JCM 19064/Vibrio hyugaensis/Vibrio sp. L85/Vibrio rotiferianus/Vibrio harveyi/Vibrio campbellii/Vibrio owensii/Vibrio jasicida/Vibrio sp. HENC-03]"	"ref_mOTU_v25_00027"
"ref_mOTU_v25_00028"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio parahaemolyticus [Vibrio sp. S457-15/Vibrio sp. S512-13/Vibrio sp. SALL6/Vibrio sp. OULL4/Vibrio parahaemolyticus]"	"ref_mOTU_v25_00028"
"ref_mOTU_v25_00029"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sp. 712i1/Vibrio sp. JCM 18904/Vibrio sp. JCM 18905/Vibrio sp. OY15/Vibrio sp. JCM 19053/Vibrio sp. JCM 19061/Vibrio sp. JCM 19063/Vibrio antiquarius/Vibrio diabolicus/Vibrio alginolyticus/Vibrio parahaemolyticus]"	"ref_mOTU_v25_00029"
"ref_mOTU_v25_00030"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio mytili"	"ref_mOTU_v25_00030"
"ref_mOTU_v25_00031"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio azureus"	"ref_mOTU_v25_00031"
"ref_mOTU_v25_00032"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio nereis"	"ref_mOTU_v25_00032"
"ref_mOTU_v25_00033"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio hepatarius"	"ref_mOTU_v25_00033"
"ref_mOTU_v25_00034"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio coralliilyticus [Vibrio sp. B183/Vibrio coralliilyticus]"	"ref_mOTU_v25_00034"
"ref_mOTU_v25_00035"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio neptunius"	"ref_mOTU_v25_00035"
"ref_mOTU_v25_00036"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sinaloensis/Vibrio caribbeanicus/Vibrio variabilis]"	"ref_mOTU_v25_00036"
"ref_mOTU_v25_00037"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sinaloensis"	"ref_mOTU_v25_00037"
"ref_mOTU_v25_00038"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio orientalis"	"ref_mOTU_v25_00038"
"ref_mOTU_v25_00039"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio tubiashii"	"ref_mOTU_v25_00039"
"ref_mOTU_v25_00040"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio bivalvicida [Vibrio bivalvicida/Vibrio sp. VPAP30]"	"ref_mOTU_v25_00040"
"ref_mOTU_v25_00041"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio tubiashii"	"ref_mOTU_v25_00041"
"ref_mOTU_v25_00042"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio brasiliensis"	"ref_mOTU_v25_00042"
"ref_mOTU_v25_00043"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio galatheae"	"ref_mOTU_v25_00043"
"ref_mOTU_v25_00044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio pacinii"	"ref_mOTU_v25_00044"
"ref_mOTU_v25_00045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas bivalvium"	"ref_mOTU_v25_00045"
"ref_mOTU_v25_00046"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas rivuli"	"ref_mOTU_v25_00046"
"ref_mOTU_v25_00047"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas aquatica/eucrenophila"	"ref_mOTU_v25_00047"
"ref_mOTU_v25_00048"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas tecta/encheleia"	"ref_mOTU_v25_00048"
"ref_mOTU_v25_00049"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas hydrophila/media"	"ref_mOTU_v25_00049"
"ref_mOTU_v25_00050"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas sp. [Aeromonas sp. HZM/Aeromonas sp. 62-46/Aeromonas sanarellii/Aeromonas taiwanensis/Aeromonas hydrophila/Aeromonas caviae]"	"ref_mOTU_v25_00050"
"ref_mOTU_v25_00051"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas lacus/jandaei [Aeromonas sp. SCS5/Aeromonas sp. L_1B5_3/Aeromonas lacus/Aeromonas jandaei]"	"ref_mOTU_v25_00051"
"ref_mOTU_v25_00052"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas sp. [Aeromonas australiensis/Aeromonas sp. 159/Aeromonas sp. ZOR0001/Aeromonas sp. ANNP30/Aeromonas sp. ANP5/Aeromonas sp. DNP9/Aeromonas sp. YN13HZO-058/Aeromonas fluvialis/Aeromonas veronii/Aeromonas allosaccharophila]"	"ref_mOTU_v25_00052"
"ref_mOTU_v25_00053"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas enteropelogenes"	"ref_mOTU_v25_00053"
"ref_mOTU_v25_00054"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas sp. [Aeromonas sp. MDS8/Aeromonas sp. RU34C/Aeromonas dhakensis/Aeromonas enteropelogenes/Aeromonas aquatica/Aeromonas hydrophila/Aeromonas jandaei]"	"ref_mOTU_v25_00054"
"ref_mOTU_v25_00055"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas sobria [Aeromonas sp. EERV15/Aeromonas sobria]"	"ref_mOTU_v25_00055"
"ref_mOTU_v25_00056"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas sp. [Aeromonas bestiarum/Aeromonas piscicola/Aeromonas salmonicida/Aeromonas popoffii]"	"ref_mOTU_v25_00056"
"ref_mOTU_v25_00057"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Franconibacter"	"Franconibacter helveticus"	"ref_mOTU_v25_00057"
"ref_mOTU_v25_00058"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Franconibacter"	"Franconibacter pulveris"	"ref_mOTU_v25_00058"
"ref_mOTU_v25_00059"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Cronobacter"	"Cronobacter condimenti"	"ref_mOTU_v25_00059"
"ref_mOTU_v25_00060"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Cronobacter"	"Cronobacter sp. [Cronobacter sakazakii/Cronobacter turicensis/Cronobacter malonaticus/Cronobacter universalis]"	"ref_mOTU_v25_00060"
"ref_mOTU_v25_00061"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Cronobacter"	"Cronobacter dublinensis/muytjensii"	"ref_mOTU_v25_00061"
"ref_mOTU_v25_00062"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	"Kluyvera intermedia [Enterobacter sp. Bisph2/Enterobacter sp. NFR05/Kosakonia sp. S29/Kluyvera intermedia]"	"ref_mOTU_v25_00062"
"ref_mOTU_v25_00063"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacteriaceae gen. [Kosakonia/Enterobacter]"	"Enterobacteriaceae sp. [Kosakonia cowanii/Enterobacter cloacae]"	"ref_mOTU_v25_00063"
"ref_mOTU_v25_00064"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kosakonia"	"Kosakonia oryzendophytica [Kosakonia oryzendophytica/Enterobacter sp. FY-07]"	"ref_mOTU_v25_00064"
"ref_mOTU_v25_00065"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kosakonia"	"Kosakonia sp. [Kosakonia oryziphila/Kosakonia sacchari/Enterobacter sp. NFIX09/Enterobacter sp. NFIX08/Enterobacter sp. NFIX06/Enterobacter sp. NFIX04/Enterobacter sp. NFIX03/Kosakonia radicincitans/Kosakonia oryzae/Kosakonia arachidis]"	"ref_mOTU_v25_00065"
"ref_mOTU_v25_00066"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kosakonia"	"Kosakonia sacchari/oryzae [Kosakonia sacchari/Enterobacter sp. R4-368/Kosakonia oryzae]"	"ref_mOTU_v25_00066"
"ref_mOTU_v25_00067"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. Bisph1"	"ref_mOTU_v25_00067"
"ref_mOTU_v25_00068"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter kobei [Enterobacter sp. SA187/Enterobacter kobei]"	"ref_mOTU_v25_00068"
"ref_mOTU_v25_00069"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. kpr-6"	"ref_mOTU_v25_00069"
"ref_mOTU_v25_00070"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Pseudescherichia"	"Pseudescherichia vulneris"	"ref_mOTU_v25_00070"
"ref_mOTU_v25_00071"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Lelliottia"	"Lelliottia amnigena [Enterobacter sp. 638/Lelliottia amnigena]"	"ref_mOTU_v25_00071"
"ref_mOTU_v25_00072"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Leclercia"	"Leclercia adecarboxylata"	"ref_mOTU_v25_00072"
"ref_mOTU_v25_00073"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Leclercia"	"Leclercia adecarboxylata"	"ref_mOTU_v25_00073"
"ref_mOTU_v25_00074"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter cloacae [Enterobacteriaceae bacterium ATCC 29904/Enterobacter cloacae]"	"ref_mOTU_v25_00074"
"ref_mOTU_v25_00075"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter asburiae/soli"	"ref_mOTU_v25_00075"
"ref_mOTU_v25_00076"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter cancerogenus"	"ref_mOTU_v25_00076"
"ref_mOTU_v25_00077"	"Bacteria"	"Bacteria phylum [Proteobacteria/Bacteroidetes]"	"Bacteria class [Sphingobacteriia/Gammaproteobacteria]"	"Bacteria order [Sphingobacteriales/Enterobacterales]"	"Bacteria fam. [Erwiniaceae/Enterobacteriaceae/Sphingobacteriaceae]"	"Bacteria gen. [Lelliottia/Pantoea/Enterobacter/Escherichia/Klebsiella/Leclercia/Pedobacter]"	"Bacteria sp. [Enterobacter sp. SENG-6/Enterobacter sp. MGH 1/Enterobacter sp. MGH 3/Enterobacter sp. MGH 6/Enterobacter sp. MGH 7/Enterobacter sp. MGH 10/Enterobacter sp. MGH 14/Enterobacter sp. MGH 15/Enterobacter sp. MGH 22/Enterobacter sp. MGH 23/Enterobacter sp. MGH 24/Enterobacter sp. MGH 25/Enterobacter sp. MGH 33/Enterobacter sp. MGH 37/Enterobacter sp. MGH 38/Enterobacter sp. BWH 37/Enterobacter sp. BIDMC 26/Enterobacter sp. BIDMC 27/Enterobacter sp. BIDMC 28/Enterobacter sp. BIDMC 30/Enterobacter sp. EGD-HP1/Enterobacter sp. DC3/Enterobacter sp. DC4/Enterobacter sp. T1-1/Enterobacter sp. UCD-UG_FMILLET/Enterobacter sp. E20/Enterobacter sp. NFIX58/Enterobacter sp. NFIX45/Enterobacter sp. NFIX59/Enterobacter sp. 940_PEND/Enterobacter sp. HMSC16D10/Enterobacter hormaechei/Enterobacter sp. BIDMC92/Leclercia sp. LK8/Enterobacter sp. BWH52/Enterobacter sp. BWH63/Enterobacter sp. BWH64/Enterobacter sp. MGH119/Enterobacter sp. MGH120/Enterobacter sp. MGH128/Enterobacter sp. BIDMC87/Enterobacter sp. BIDMC93/Enterobacter sp. BIDMC94/Enterobacter sp. BIDMC99/Enterobacter sp. BIDMC100/Enterobacter sp. BIDMC109/Enterobacter sp. 50588862/Enterobacter sp. 50793107/Enterobacter sp. 50858885/Enterobacter sp. K66-74/Enterobacter roggenkampii/Enterobacter sp. ODB01/Enterobacter sp. IF2SW-P2/Enterobacter sp. HK169/Enterobacter sp. PDC34/Pantoea sesami/Enterobacter sp. ku-bf2/Enterobacter sp. 56-7/Enterobacter sp. ST121:950178628/Enterobacter sp. J49/Enterobacter sichuanensis/Enterobacter kobei/Enterobacter genomosp. O/Enterobacter genomosp. S/Pedobacter himalayensis/Enterobacter chengduensis/Enterobacter ludwigii/Enterobacter sp. DC1/Klebsiella aerogenes/Enterobacter cloacae/Escherichia coli/Klebsiella oxytoca/Enterobacter asburiae/Lelliottia amnigena/Enterobacter cancerogenus/Lelliottia nimipressuralis/Leclercia adecarboxylata/Enterobacter bugandensis]"	"ref_mOTU_v25_00077"
"ref_mOTU_v25_00078"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter timonensis"	"ref_mOTU_v25_00078"
"ref_mOTU_v25_00079"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Lelliottia"	"Lelliottia amnigena"	"ref_mOTU_v25_00079"
"ref_mOTU_v25_00080"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Pluralibacter"	"Pluralibacter gergoviae"	"ref_mOTU_v25_00080"
"ref_mOTU_v25_00081"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Yokenella"	"Yokenella regensburgei"	"ref_mOTU_v25_00081"
"ref_mOTU_v25_00082"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Trabulsiella"	"Trabulsiella guamensis/odontotermitis"	"ref_mOTU_v25_00082"
"ref_mOTU_v25_00083"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Pluralibacter"	"[Enterobacter] lignolyticus"	"ref_mOTU_v25_00083"
"ref_mOTU_v25_00084"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacteriaceae gen. [Enterobacter/Klebsiella]"	"Enterobacteriaceae sp. [Klebsiella aerogenes/Enterobacter cloacae]"	"ref_mOTU_v25_00084"
"ref_mOTU_v25_00085"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacterales fam. [Yersiniaceae/Enterobacteriaceae]"	"Enterobacterales gen. [Enterobacter/Escherichia/Klebsiella/Serratia]"	"Enterobacterales sp. [Klebsiella sp. D5A/Klebsiella sp. KTE92/Klebsiella sp. 10982/Klebsiella variicola CAG:634/Klebsiella quasipneumoniae/Klebsiella sp. NFIX54/Klebsiella sp. NFIX44/Klebsiella sp. NFIX43/Klebsiella sp. NFIX42/Klebsiella sp. NFIX41/Klebsiella sp. NFIX40/Klebsiella sp. NFIX38/Klebsiella sp. NFIX37/Klebsiella sp. NFIX36/Klebsiella sp. NFIX35/Klebsiella sp. NFIX34/Klebsiella sp. NFIX33/Klebsiella sp. NFIX30/Klebsiella sp. NFIX29/Klebsiella sp. NFIX27/Klebsiella sp. NFIX22/Klebsiella sp. NFIX21/Klebsiella sp. NFIX20/Klebsiella sp. NFIX19/Klebsiella sp. NFIX18/Klebsiella sp. NFIX26/Klebsiella sp. NFIX25/Klebsiella sp. NFIX24/Klebsiella sp. NFIX23/Klebsiella sp. NFIX17/Klebsiella sp. NFIX16/Klebsiella sp. NFIX15/Klebsiella sp. NFIX13/Klebsiella sp. NFIX12/Klebsiella sp. NFIX11/Klebsiella sp. NFIX56/Klebsiella sp. NFPP35/Klebsiella sp. HMSC22F09/Klebsiella sp. HMSC25G12/Klebsiella sp. HMSC16A12/Klebsiella sp. HMSC16C06/Klebsiella sp. KGM-IMP216/Klebsiella sp. AA405/Klebsiella variicola/Enterobacter cloacae/Escherichia coli/Klebsiella oxytoca/Klebsiella pneumoniae/Serratia marcescens/Klebsiella sp. 4_1_44FAA/Klebsiella sp. S1/Klebsiella sp. MS 92-3]"	"ref_mOTU_v25_00085"
"ref_mOTU_v25_00086"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	"Klebsiella michiganensis/oxytoca [Klebsiella michiganensis/Proteus sp. HMSC10D02/Enterobacter sp. HMSC055A11/Klebsiella sp. LTGPAF-6F/Klebsiella sp. M5al/Klebsiella oxytoca/Klebsiella sp. AS10/Klebsiella sp. OBRC7]"	"ref_mOTU_v25_00086"
"ref_mOTU_v25_00087"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacteriaceae gen. [Raoultella/Klebsiella]"	"Enterobacteriaceae sp. [Raoultella sp. YJ/Raoultella ornithinolytica/Klebsiella oxytoca/Klebsiella pneumoniae/Raoultella planticola]"	"ref_mOTU_v25_00087"
"ref_mOTU_v25_00088"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Raoultella"	"Raoultella ornithinolytica/terrigena"	"ref_mOTU_v25_00088"
"ref_mOTU_v25_00089"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Metakosakonia"	"Metakosakonia massiliensis"	"ref_mOTU_v25_00089"
"ref_mOTU_v25_00090"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	"Kluyvera ascorbata/georgiana"	"ref_mOTU_v25_00090"
"ref_mOTU_v25_00091"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	"Kluyvera ascorbata"	"ref_mOTU_v25_00091"
"ref_mOTU_v25_00092"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	"Kluyvera cryocrescens"	"ref_mOTU_v25_00092"
