"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_05153"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	"Campylobacter pinnipediorum"	"ref_mOTU_v25_05153"
"ref_mOTU_v25_05154"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	"Campylobacter sp. [Campylobacter sp. RM6137/Campylobacter sp. P0024/Campylobacter sp. P0078/Campylobacter sp. P0124]"	"ref_mOTU_v25_05154"
"ref_mOTU_v25_05155"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	"Campylobacter sp. [Campylobacter sp. RM8964/Campylobacter sp. RM12175/Campylobacter sp. RM8835/Campylobacter sp. RM8965/Campylobacter sp. RM8966/Campylobacter sp. RM8970/Campylobacter sp. RM9261/Campylobacter sp. RM9262/Campylobacter sp. RM9263/Campylobacter sp. S0112]"	"ref_mOTU_v25_05155"
"ref_mOTU_v25_05156"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae gen. [Flavobacterium/Chryseobacterium]"	"Flavobacteriaceae sp. [Chryseobacterium sp. SCN 40-13/Flavobacterium sp. 40-81]"	"ref_mOTU_v25_05156"
"ref_mOTU_v25_05157"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Comamonas"	"Comamonas sp. [Comamonas sp. SCN 67-35/Burkholderiales bacterium 66-26]"	"ref_mOTU_v25_05157"
"ref_mOTU_v25_05158"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"	"Leifsonia sp. [Leifsonia sp. SCN 70-46/Micrococcales bacterium 70-64]"	"ref_mOTU_v25_05158"
"ref_mOTU_v25_05159"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. [Microbacterium sp. SCN 71-17/Microbacterium sp. 71-36/Microbacterium sp. RURRCA19A]"	"ref_mOTU_v25_05159"
"ref_mOTU_v25_05160"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. CSI-V"	"ref_mOTU_v25_05160"
"ref_mOTU_v25_05161"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. T32"	"ref_mOTU_v25_05161"
"ref_mOTU_v25_05162"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp. [Microbacterium sp. Leaf179/Microbacterium sp. Leaf436/Microbacterium sp. BH-3-3-3]"	"ref_mOTU_v25_05162"
